Account_ID,transaction_amount,account_balance,Transaction Type,Merchant Category,Location,id,transaction_date,account_id,transaction_amount,account_balance,rolling_avg_transaction,large_transaction_flag,balance_drop,balance_drop_flag,suspicious_flag
1037,170.65,7694.82,Transfer,Clothing,Chicago,6,07-01-2024,A001,700,300,466.6666667,FALSE,0.7,TRUE,TRUE
1025,361.73,5049.53,Withdrawal,Groceries,Houston,8,09-01-2024,A001,5889,300,466.6666667,FALSE,0.7,TRUE,TRUE
1095,272.01,1397.16,Deposit,Food and Dining,Phoenix,9,10-01-2024,A001,700,300,466.6666667,FALSE,0.7,TRUE,TRUE
1074,327.73,1108.43,Withdrawal,Clothing,Phoenix,10,11-01-2024,A002,786,300,466.6666667,FALSE,0.7,TRUE,TRUE
1094,474.52,7609.45,Withdrawal,Groceries,Chicago,12,13-01-2024,A002,200,1800,116.6666667,TRUE,0.052631579,FALSE,TRUE
1063,336.97,1579.11,Deposit,Food and Dining,Los Angeles,14,15-01-2024,A002,600,1000,316.6666667,TRUE,0.375,TRUE,TRUE
1002,310.63,7199.69,Transfer,Groceries,Chicago,16,17-01-2024,A002,1200,600,616.6666667,TRUE,0.368421053,TRUE,TRUE
1009,388.76,5532.41,Deposit,Food and Dining,New York,17,18-01-2024,A002,700,300,650,FALSE,0.5,TRUE,TRUE
1083,396.46,2330.32,Withdrawal,Groceries,Houston,19,20-01-2024,A002,1000,200,583.3333333,TRUE,0.2,FALSE,TRUE
1051,259.6,3542.96,Deposit,Groceries,Houston,46,13-01-2024,A002,200,1800,116.67,TRUE,0.053,FALSE,TRUE
1035,414.15,1881.62,Deposit,Food and Dining,Los Angeles,74,15-01-2024,A002,600,1000,316.67,TRUE,0.375,TRUE,TRUE
1066,222.6,2324.82,Deposit,Groceries,Chicago,85,17-01-2024,A002,1200,600,616.67,TRUE,0.368,TRUE,TRUE
1028,321.03,2043.06,Transfer,Electronics,New York,35,18-01-2024,A002,700,300,650,FALSE,0.5,TRUE,TRUE
1083,10.74,2920.81,Deposit,Food and Dining,Chicago,58,20-01-2024,A002,1000,200,583.33,TRUE,0.2,FALSE,TRUE
1058,148.68,5967.22,Deposit,Clothing,Los Angeles,23,21-01-2024,A001,259.6,350,259.6,FALSE,0.15,FALSE,FALSE
1051,90.28,3682.22,Withdrawal,Entertainment,Phoenix,12,22-01-2024,A002,447.7,450,447.7,FALSE,0.25,TRUE,TRUE
1060,447.7,3584.87,Withdrawal,Entertainment,Houston,10,23-01-2024,A002,158.91,550,158.91,FALSE,0.35,FALSE,FALSE
1037,466.71,4565.96,Withdrawal,Entertainment,New York,45,24-01-2024,A002,441.63,650,441.63,TRUE,0.1,FALSE,TRUE
1077,441.63,2128.03,Withdrawal,Entertainment,Phoenix,56,25-01-2024,A001,428.84,300,428.84,FALSE,0.4,TRUE,FALSE
1073,158.91,6402.92,Transfer,Electronics,Phoenix,2,26-01-2024,A001,478.52,200,478.52,TRUE,0.2,FALSE,TRUE
1075,40.49,6351.47,Withdrawal,Clothing,Houston,7,27-01-2024,A001,252.29,400,252.29,FALSE,0.3,TRUE,TRUE
1082,121.69,8481.85,Transfer,Groceries,Los Angeles,25,28-01-2024,A001,346.63,500,346.63,TRUE,0.25,FALSE,FALSE
1082,369.18,6653.98,Transfer,Entertainment,Chicago,65,29-01-2024,A002,386.27,700,386.27,TRUE,0.2,FALSE,TRUE
1041,478.52,5554.62,Deposit,Entertainment,Phoenix,98,30-01-2024,A001,64.63,900,64.63,FALSE,0.3,TRUE,TRUE
1067,499.32,8752.16,Transfer,Electronics,Los Angeles,23,31-01-2024,A002,188.8,250,188.8,FALSE,0.15,FALSE,FALSE
1080,188.8,5128.78,Transfer,Clothing,New York,32,01-02-2024,A002,86.03,600,86.03,FALSE,0.25,TRUE,TRUE
1086,252.29,9856.61,Withdrawal,Clothing,Phoenix,1,02-02-2024,A002,435.81,800,435.81,FALSE,0.1,FALSE,FALSE
1022,247.4,8361.69,Transfer,Clothing,New York,42,03-02-2024,A001,242.85,750,242.85,FALSE,0.35,TRUE,TRUE
1016,346.63,5958.15,Transfer,Clothing,Chicago,26,04-02-2024,A002,307.05,600,307.05,FALSE,0.2,FALSE,TRUE
1058,191.68,8623,Withdrawal,Food and Dining,Houston,67,05-02-2024,A002,172.12,400,172.12,FALSE,0.3,TRUE,FALSE
1040,116.59,5069.61,Withdrawal,Electronics,Chicago,62,06-02-2024,A002,470.82,300,470.82,TRUE,0.25,TRUE,TRUE
1022,1022,1022,1022,1022,1022,1022,,,,,,,,,
